Image Name	Altitude [km]	Roll Angle [º]	Corrected Roll [º]	Pitch Angle [º]	Corrected Pitch [º]	Latency [s]	Rate [Hz]
../testImages/500p10.png	500	-0.0120456	-0.00864273	10.0202	10.0253	0.000408	2450.98
../testImages/500p15.png	500	-0.0354205	-0.0317948	14.099	15.0235	0.000397	2518.89
../testImages/500p20.png	500	-0.0173612	-0.0139077	18.1669	19.9894	0.000202	4950.5
../testImages/500r0.png	500	0.00531549	0.00855279	1.90612	0.0261068	0.000517	1934.24
../testImages/500r5.png	500	-4.96982	-4.91919	1.98915	0.128801	0.000483	2070.39
../testImages/500r10.png	500	-10.1002	-10.0009	2.14628	0.323141	0.000487	2053.39
../testImages/500r15.png	500	-15.1817	-15.0341	2.45913	0.709969	0.000509	1964.64
../testImages/500r20.png	500	-20.1802	-19.9853	2.89667	1.2508	0.000495	2020.2
../testImages/475p0.png	475	-0.0173529	-0.0132016	1.90269	0.0245457	0.00051	1960.78
../testImages/475p5.png	475	-0.00605808	-0.00198056	5.89114	4.94784	0.000489	2044.99
../testImages/475p10.png	475	-0.019648	-0.0154818	10.0179	10.0237	0.000398	2512.56
../testImages/475p15.png	475	-0.0101312	-0.00602711	14.1022	15.0289	0.000384	2604.17
../testImages/475p20.png	475	-0.0012714	0.00277489	18.1633	19.9877	0.000201	4975.12
../testImages/475r0.png	475	-0.0173529	-0.0132016	1.90269	0.0245457	0.000554	1805.05
../testImages/475r5.png	475	-4.93392	-4.89796	1.99096	0.13369	0.000488	2049.18
../testImages/475r10.png	475	-9.99936	-9.93115	2.1189	0.291874	0.000518	1930.5
../testImages/475r15.png	475	-15.1119	-15.0117	2.45237	0.704095	0.000493	2028.4
../testImages/475r20.png	475	-20.1392	-20.0081	2.87011	1.22031	0.000488	2049.18
../testImages/450p0.png	450	-0.00191024	0.00288448	1.90063	0.0246747	0.000244	4098.36
../testImages/450p5.png	450	0.0017767	0.00655847	5.89309	4.95177	0.000449	2227.17
../testImages/450p10.png	450	-0.0159702	-0.0111261	10.0105	10.0157	0.000399	2506.27
../testImages/450p15.png	450	-0.0139671	-0.00913004	14.1032	15.0316	0.000407	2457
../testImages/450p20.png	450	-0.0202595	-0.0154004	18.165	19.9924	0.000374	2673.8
../testImages/450r0.png	450	-0.00191024	0.00288448	1.90063	0.0246747	0.000319	3134.8
../testImages/450r5.png	450	-4.98914	-4.96731	1.96029	0.0984302	0.000513	1949.32
../testImages/450r10.png	450	-10.0039	-9.96595	2.13214	0.310843	0.000512	1953.12
../testImages/450r15.png	450	-15.0606	-15.0073	2.43926	0.690376	0.000499	2004.01
../testImages/450r20.png	450	-20.0538	-19.9864	2.83758	1.18246	0.000514	1945.53
../testImages/425p0.png	425	-0.00593598	-0.000394986	1.89287	0.0177729	0.000481	2079
../testImages/425p5.png	425	-0.00017254	0.00536557	5.88491	4.94322	0.000443	2257.34
../testImages/425p10.png	425	-0.0121691	-0.00662499	10.0075	10.0131	0.000405	2469.14
../testImages/425p15.png	425	-0.0176128	-0.0120659	14.1022	15.0319	0.000376	2659.57
../testImages/425p20.png	425	-0.00475553	0.000784872	18.1548	19.9826	0.000244	4098.36
../testImages/425r0.png	425	-0.00593598	-0.000394986	1.89287	0.0177729	0.000515	1941.75
../testImages/425r5.png	425	-4.99561	-4.98827	1.93845	0.0740967	0.000474	2109.7
../testImages/425r10.png	425	-10.0277	-10.0199	2.11818	0.296182	0.000478	2092.05
../testImages/425r15.png	425	-14.9922	-14.9854	2.40317	0.648271	0.000523	1912.05
../testImages/425r20.png	425	-20.0315	-20.0271	2.81905	1.16192	0.00049	2040.82
../testImages/400p0.png	400	-0.00913426	-0.00286917	1.90319	0.0332091	0.000474	2109.7
../testImages/400p5.png	400	-0.0037827	0.00249583	5.88293	4.94231	0.000443	2257.34
../testImages/400p10.png	400	-0.0160593	-0.00981157	10.0163	10.025	0.000413	2421.31
../testImages/400p15.png	400	-0.0160656	-0.00981788	14.1038	15.0353	0.000386	2590.67
../testImages/400p20.png	400	-0.00786418	-0.0015959	18.1504	19.98	0.000182	5494.51
